[Info]

Chopper_Name=B4M03 P 3 ID0.01
Chopper_Node=76
Chopper_Hour=0
User_Comment=
Program_Version=ISOLOADER PC Can Console 2.13
Save_Date=Fri Jan 26 16:17:39 2024

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE MIN ;1;4;1;0.1    ;1;20920;76;0;1;001FFDEF;PARAMETER CHANGE;
250;ACC. TORQUE MAX ;2;4;1;0.1    ;1;8367;76;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MIN ;3;4;1;0.1    ;1;20921;76;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MAX ;4;4;1;0.1    ;1;8428;76;0;1;001FFDEF;PARAMETER CHANGE;
250;MODULATION TORQ.;5;4;100;100 %;100;20922;76;0;1;001FFDEF;PARAMETER CHANGE;
250;ACCELER. DELAY ;6;4;23;2.3    ;20;8192;76;0;1;001FFD8F;PARAMETER CHANGE;
250;RELEASE BRAKING ;7;4;23;2.3    ;20;8203;76;0;1;001FFD8F;PARAMETER CHANGE;
250;REL BRK IN CTB ;8;4;20;2.0    ;20;8202;76;0;1;001FFD8F;PARAMETER CHANGE;
250;TILLER BRAKING ;9;4;5;0.5    ;5;8412;76;0;1;001FF90D;PARAMETER CHANGE;
250;INVERS. BRAKING ;10;4;20;2.0    ;10;8204;76;0;1;001FFD8D;PARAMETER CHANGE;
250;DECEL. BRAKING  ;11;4;23;2.3    ;90;8429;76;0;1;001FFD8F;PARAMETER CHANGE;
250;PEDAL BRAKING  ;12;4;10;1.0    ;10;8205;76;0;1;001FFD8D;PARAMETER CHANGE;
250;SPEED LIMIT BRK.;0;4;28;2.8    ;28;8208;76;0;0;001FF80B;PARAMETER CHANGE;
250;STEER BRAKING ;0;4;5;0.5    ;5;20721;76;0;0;001FF809;PARAMETER CHANGE;
250;SS1 BRAKING  ;13;4;20;2.0    ;10;20907;76;0;1;001FFD04;PARAMETER CHANGE;
250;GSS1 BRK. TIME ;14;4;22;2.2    ;50;20908;76;0;1;001FFD04;PARAMETER CHANGE;
250;ACC. MIN MODUL. ;15;4;8;8 %;8;20833;76;0;1;001FFD8F;PARAMETER CHANGE;
250;REL. MIN MODUL. ;16;4;30;30 %;30;20834;76;0;1;001FFD8F;PARAMETER CHANGE;
250;MAX SPEED FORW ;0;4;100;100 %;100;8222;76;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED BACK ;0;4;100;100 %;100;8223;76;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED LIFT ;0;4;100;100 %;100;8380;76;0;0;001FF802;PARAMETER CHANGE;
250;1ST PUMP SPEED ;0;4;28;28 %;28;8224;76;0;0;001FF802;PARAMETER CHANGE;
250;2ND PUMP SPEED ;0;4;90;90 %;90;8227;76;0;0;001FF802;PARAMETER CHANGE;
250;3RD PUMP SPEED ;0;4;50;50 %;50;8230;76;0;0;001FF802;PARAMETER CHANGE;
250;4TH PUMP SPEED ;0;4;28;28 %;28;8233;76;0;0;001FF802;PARAMETER CHANGE;
250;5TH PUMP SPEED ;0;4;45;45 %;45;8236;76;0;0;001FF802;PARAMETER CHANGE;
250;HYD PUMP SPEED ;0;4;40;40 %;40;8239;76;0;0;001FF802;PARAMETER CHANGE;
250;CUTBACK SPEED 1 ;0;4;100;100 %;100;8213;76;0;0;001FF80B;PARAMETER CHANGE;
250;CUTBACK SPEED 2 ;0;4;100;100 %;100;8214;76;0;0;001FF80B;PARAMETER CHANGE;
250;H&S CUTBACK   ;0;4;25;25 %;25;8373;76;0;0;001FF809;PARAMETER CHANGE;
250;CTB. STEER ALARM;0;4;23;23 %;23;8372;76;0;0;001FF809;PARAMETER CHANGE;
250;CURVE SPEED 1  ;0;4;100;100 %;100;20723;76;0;0;001FF809;PARAMETER CHANGE;
250;CURVE CUTBACK  ;0;4;100;100 %;100;8221;76;0;0;001FF809;PARAMETER CHANGE;
250;CTB. HYDRO ALARM;0;4;0;0 %;0;8209;76;0;0;001FF809;PARAMETER CHANGE;
250;FREQUENCY CREEP ;0;4;51;5.10 Hz;12;8409;76;0;0;001FF80B;PARAMETER CHANGE;
250;TORQUE CREEP  ;17;4;12;4.7 %;12;8375;76;0;1;001FF80F;PARAMETER CHANGE;
250;ACC SMOOTH   ;18;4;10;1.0    ;10;8401;76;0;1;001FFD0F;PARAMETER CHANGE;
250;INV SMOOTH   ;19;4;10;1.0    ;10;8402;76;0;1;001FFD0D;PARAMETER CHANGE;
250;STOP SMOOTH   ;20;4;10;10 Hz;10;8403;76;0;1;001FFD0F;PARAMETER CHANGE;
250;BRK SMOOTH   ;21;4;10;1.0    ;10;8405;76;0;1;001FFD0D;PARAMETER CHANGE;
