[Info]

Chopper_Name=B4M03 P 3 ZP0.60b029
Chopper_Node=8
Chopper_Hour=1
User_Comment=
Program_Version=ZAPI PC Can Console 1.09
Save_Date=Wed Feb 22 11:27:11 2023

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE MIN ;1;4;1;0.1    ;1;20920;8;0;1;001FFDEF;PARAMETER CHANGE;
250;ACC. TORQUE MAX ;2;4;1;0.1    ;1;8367;8;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MIN ;3;4;1;0.1    ;1;20921;8;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MAX ;4;4;1;0.1    ;1;8428;8;0;1;001FFDEF;PARAMETER CHANGE;
250;MODULATION TORQ.;5;4;100;100 %;100;20922;8;0;1;001FFDEF;PARAMETER CHANGE;
250;ACCELER. DELAY ;6;4;40;4.0    ;20;8192;8;0;1;001FFD8F;PARAMETER CHANGE;
250;RELEASE BRAKING ;7;4;40;4.0    ;20;8203;8;0;1;001FFD8F;PARAMETER CHANGE;
250;REL BRK IN CTB ;8;4;20;2.0    ;20;8202;8;0;1;001FFD8F;PARAMETER CHANGE;
250;TILLER BRAKING ;9;4;5;0.5    ;5;8412;8;0;1;001FF90D;PARAMETER CHANGE;
250;INVERS. BRAKING ;10;4;20;2.0    ;10;8204;8;0;1;001FFD8D;PARAMETER CHANGE;
250;DECEL. BRAKING  ;11;4;40;4.0    ;90;8429;8;0;1;001FFD8F;PARAMETER CHANGE;
250;PEDAL BRAKING  ;12;4;10;1.0    ;10;8205;8;0;1;001FFD8D;PARAMETER CHANGE;
250;SPEED LIMIT BRK.;0;4;28;2.8    ;28;8208;8;0;0;001FF80B;PARAMETER CHANGE;
250;STEER BRAKING ;0;4;5;0.5    ;5;20721;8;0;0;001FF809;PARAMETER CHANGE;
250;SS1 BRAKING  ;13;4;10;1.0    ;10;20907;8;0;1;001FFD04;PARAMETER CHANGE;
250;GSS1 BRK. TIME ;14;4;50;5.0    ;50;20908;8;0;1;001FFD04;PARAMETER CHANGE;
250;ACC. MIN MODUL. ;15;4;8;8 %;8;20833;8;0;1;001FFD8F;PARAMETER CHANGE;
250;REL. MIN MODUL. ;16;4;30;30 %;30;20834;8;0;1;001FFD8F;PARAMETER CHANGE;
250;MAX SPEED FORW ;0;4;100;100 %;100;8222;8;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED BACK ;0;4;100;100 %;100;8223;8;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED LIFT ;0;4;100;100 %;100;8380;8;0;0;001FF802;PARAMETER CHANGE;
250;1ST PUMP SPEED ;0;4;28;28 %;28;8224;8;0;0;001FF802;PARAMETER CHANGE;
250;2ND PUMP SPEED ;0;4;90;90 %;90;8227;8;0;0;001FF802;PARAMETER CHANGE;
250;3RD PUMP SPEED ;0;4;50;50 %;50;8230;8;0;0;001FF802;PARAMETER CHANGE;
250;4TH PUMP SPEED ;0;4;28;28 %;28;8233;8;0;0;001FF802;PARAMETER CHANGE;
250;5TH PUMP SPEED ;0;4;45;45 %;45;8236;8;0;0;001FF802;PARAMETER CHANGE;
250;HYD PUMP SPEED ;0;4;40;40 %;40;8239;8;0;0;001FF802;PARAMETER CHANGE;
250;CUTBACK SPEED 1 ;0;4;100;100 %;100;8213;8;0;0;001FF80B;PARAMETER CHANGE;
250;CUTBACK SPEED 2 ;0;4;100;100 %;100;8214;8;0;0;001FF80B;PARAMETER CHANGE;
250;H&S CUTBACK   ;0;4;25;25 %;25;8373;8;0;0;001FF809;PARAMETER CHANGE;
250;CTB. STEER ALARM;0;4;23;23 %;23;8372;8;0;0;001FF809;PARAMETER CHANGE;
250;CURVE SPEED 1  ;0;4;100;100 %;100;20723;8;0;0;001FF809;PARAMETER CHANGE;
250;CURVE CUTBACK  ;0;4;100;100 %;100;8221;8;0;0;001FF809;PARAMETER CHANGE;
250;FREQUENCY CREEP ;0;4;51;5.10 Hz;12;8409;8;0;0;001FF80B;PARAMETER CHANGE;
250;TORQUE CREEP  ;17;4;12;4.7 %;12;8375;8;0;1;001FF80F;PARAMETER CHANGE;
250;ACC SMOOTH   ;18;4;10;1.0    ;10;8401;8;0;1;001FFD0F;PARAMETER CHANGE;
250;INV SMOOTH   ;19;4;10;1.0    ;10;8402;8;0;1;001FFD0D;PARAMETER CHANGE;
250;STOP SMOOTH   ;20;4;10;10 Hz;10;8403;8;0;1;001FFD0F;PARAMETER CHANGE;
