[Info]

Chopper_Name=A0M02B  3 ZP0.60b012
Chopper_Node=106
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI PC Can Console 2.09
Save_Date=Wed Jul 19 21:01:48 2023

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE MIN ;1;4;1;0.1    ;1;20920;106;0;1;001FFDEF;PARAMETER CHANGE;
250;ACC. TORQUE MAX ;2;4;1;0.1    ;1;8367;106;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MIN ;3;4;1;0.1    ;1;20921;106;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MAX ;4;4;1;0.1    ;1;8428;106;0;1;001FFDEF;PARAMETER CHANGE;
250;MODULATION TORQ.;5;4;100;100 %;100;20922;106;0;1;001FFDEF;PARAMETER CHANGE;
250;ACCELER. DELAY ;6;4;20;2.0    ;20;8192;106;0;1;001FFD8F;PARAMETER CHANGE;
250;RELEASE BRAKING ;7;4;20;2.0    ;20;8203;106;0;1;001FFD8F;PARAMETER CHANGE;
250;REL BRK IN CTB ;8;4;20;2.0    ;20;8202;106;0;1;001FFD8F;PARAMETER CHANGE;
250;TILLER BRAKING ;9;4;5;0.5    ;5;8412;106;0;1;001FF90D;PARAMETER CHANGE;
250;INVERS. BRAKING ;10;4;10;1.0    ;10;8204;106;0;1;001FFD8D;PARAMETER CHANGE;
250;DECEL. BRAKING  ;11;4;90;9.0    ;90;8429;106;0;1;001FFD8F;PARAMETER CHANGE;
250;PEDAL BRAKING  ;12;4;10;1.0    ;10;8205;106;0;1;001FFD8D;PARAMETER CHANGE;
250;SPEED LIMIT BRK.;0;4;28;2.8    ;28;8208;106;0;0;001FF80B;PARAMETER CHANGE;
250;STEER BRAKING ;0;4;5;0.5    ;5;20721;106;0;0;001FF809;PARAMETER CHANGE;
250;SS1 BRAKING  ;13;4;10;1.0    ;10;20907;106;0;1;001FFD04;PARAMETER CHANGE;
250;GSS1 BRK. TIME ;14;4;50;5.0    ;50;20908;106;0;1;001FFD04;PARAMETER CHANGE;
