[Info]
Chopper_Name=B4M03 P 3 ZP0.60b029
Save_Date=Wed Jul 19 17:18:57 2023

TIME(msec);FREQUENCY    ;MEASURED SPEED ;CURRENT RMS   ;MOTION TORQUE NM;TEMPERATURE   ;MOTOR TEMPERAT. ;TARGET SPEED   ;ELEC.BRAKE;
0.003;0;0;0;0;0;0;0;0;
0.040;0;0;0;-1.1;0;0;0;0;
0.065;0;0;0;-1.1;33;0;0;0;
0.090;0;0;0;-1.1;33;36;0;0;
0.116;0;0;0;-1.1;33;36;0;0;
0.141;0;0;0;-1.1;33;36;0;0;
0.166;0;0;0;-1.1;33;36;0;0;
0.190;0;0;0;-1.1;33;36;0;0;
0.215;0;0;0;-1.1;33;36;0;0;
0.239;0;0;0;-1.1;33;36;0;0;
0.264;0;0;0;-1.1;33;36;0;0;
0.289;0;0;0;-1.1;33;36;0;0;
0.314;0;0;0;-1.1;33;36;0;0;
0.339;0;0;0;-1.1;33;36;0;0;
0.364;0;0;0;-1.1;33;36;0;0;
0.389;0;0;0;-1.1;33;36;0;0;
0.415;0;0;0;-1.1;33;36;0;0;
0.432;0;0;0;-1.1;33;36;0;0;
0.449;0;0;0;-1.1;33;36;0;0;
0.468;0;0;0;-1.1;33;36;0;0;
0.492;0;0;0;-1.1;33;36;0;0;
0.519;0;0;0;-1.1;33;36;0;0;
0.543;0;0;0;-1.1;33;36;0;0;
0.569;0;0;0;-1.1;33;36;0;0;
0.593;0;0;0;-1.1;33;36;0;0;
0.619;0;0;0;-1.1;33;36;0;0;
0.642;0;0;0;-1.1;33;36;0;0;
0.669;0;0;0;-1.1;33;36;0;0;
0.693;0;0;0;-1.1;33;36;0;0;
0.719;0;0;0;-1.1;33;36;0;0;
0.742;0;0;0;-1.1;33;36;0;0;
0.769;0;0;0;-1.1;33;36;0;0;
0.793;0;0;0;-1.1;33;36;0;0;
0.819;0;0;0;-1.1;33;36;0;0;
0.843;0;0;0;-1.1;33;36;0;0;
0.864;0;0;0;-1.1;33;36;0;0;
0.888;0;0;0;-1.1;33;36;0;0;
0.906;0;0;0;-1.1;33;36;0;0;
0.931;0;0;0;-1.1;33;36;0;0;
0.948;0;0;0;-1.1;33;36;0;0;
0.974;0;0;0;-1.1;33;36;0;0;
0.999;0;0;0;-1.1;33;36;0;0;
1.024;0;0;0;-1.1;33;36;0;0;
1.048;0;0;0;-1.1;33;36;0;0;
1.071;0;0;0;-1.1;33;36;0;0;
1.097;0;0;0;-1.1;33;36;0;0;
1.121;0;0;0;-1.1;33;36;0;0;
1.146;0;0;0;-1.1;33;36;0;0;
1.170;0;0;0;-1.1;33;36;0;0;
1.195;0;0;0;-1.1;33;36;0;0;
1.219;0;0;0;-1.1;33;36;0;0;
1.243;0;0;0;-1.1;33;36;0;0;
1.269;0;0;0;-1.1;33;36;0;0;
1.293;0;0;0;-1.1;33;36;0;0;
1.355;0;0;0;-1.1;33;36;0;0;
1.379;0;0;0;-1.1;33;36;0;0;
1.404;0;0;0;-1.1;33;36;0;0;
1.428;0;0;0;-1.1;33;36;0;0;
1.453;0;0;0;-1.1;33;36;0;0;
1.477;0;0;0;-1.1;33;36;0;0;
1.503;0;0;0;-1.1;33;36;0;0;
1.527;0;0;0;-1.1;33;36;0;0;
1.553;0;0;0;-1.1;33;36;0;0;
1.578;0;0;0;-1.1;33;36;0;0;
1.603;0;0;0;-1.1;33;36;0;0;
1.627;0;0;0;-1.1;33;36;0;0;
1.652;0;0;0;-1.1;33;36;0;0;
1.676;0;0;0;-1.1;33;36;0;0;
1.702;0;0;0;-1.1;33;36;0;0;
1.726;0;0;0;-1.1;33;36;0;0;
1.752;0;0;0;-1.1;33;36;0;0;
1.776;0;0;0;-1.1;33;36;0;0;
1.802;0;0;0;-1.1;33;36;0;0;
1.827;0;0;0;-1.1;33;36;0;0;
1.853;0;0;0;-1.1;33;36;0;0;
1.878;0;0;0;-1.1;33;36;0;0;
1.903;0;0;0;-1.1;33;36;0;0;
1.927;0;0;0;-1.1;33;36;0;0;
1.953;0;0;0;-1.1;33;36;0;0;
1.977;0;0;0;-1.1;33;36;0;0;
1.996;0;0;0;-1.1;33;36;0;0;
2.020;0;0;0;-1.1;33;36;0;0;
2.044;0;0;0;-1.1;33;36;0;0;
2.069;0;0;0;-1.1;33;36;0;0;
2.092;0;0;0;-1.1;33;36;0;0;
2.117;0;0;0;-1.1;33;36;0;0;
2.142;0;0;0;-1.1;33;36;0;0;
2.167;0;0;0;-1.1;33;36;0;0;
2.190;0;0;0;-1.1;33;36;0;0;
2.215;0;0;0;-1.1;33;36;0;0;
2.240;0;0;0;-1.1;33;36;0;0;
2.264;0;0;0;-1.1;33;36;0;0;
2.288;0;0;0;-1.1;33;36;0;0;
2.313;0;0;0;-1.1;33;36;0;0;
2.336;0;0;0;-1.1;33;36;0;0;
2.361;0;0;0;-1.1;33;36;0;0;
2.386;0;0;0;-1.1;33;36;0;0;
2.410;0;0;0;-1.1;33;36;0;0;
2.436;0;0;0;-1.1;33;36;0;0;
2.460;0;0;0;-1.1;33;36;0;0;
2.486;0;0;0;-1.1;33;36;0;0;
2.510;0;0;0;-1.1;33;36;0;0;
2.535;0;0;0;-1.1;33;36;0;0;
2.559;0;0;0;-1.1;33;36;0;0;
2.586;0;0;0;-1.1;33;36;0;0;
2.610;0;0;0;-1.1;33;36;0;0;
2.636;0;0;0;-1.1;33;36;0;0;
2.660;0;0;0;-1.1;33;36;0;0;
2.686;0;0;0;-1.1;33;36;0;0;
2.710;0;0;0;-1.1;33;36;0;0;
2.736;0;0;0;-1.1;33;36;0;0;
2.760;0;0;0;-1.1;33;36;0;0;
2.786;0;0;0;-1.1;33;36;0;0;
2.810;0;0;0;-1.1;33;36;0;0;
2.836;0;0;0;-1.1;33;36;0;0;
2.860;0;0;0;-1.1;33;36;0;0;
2.886;0;0;0;-1.1;33;36;0;0;
2.910;0;0;0;-1.1;33;36;0;0;
2.936;0;0;0;-1.1;33;36;0;0;
2.960;0;0;0;-1.1;33;36;0;0;
2.986;0;0;0;-1.1;33;36;0;0;
3.012;0;0;0;-1.1;33;36;0;0;
3.037;0;0;0;-1.1;33;36;0;0;
3.061;0;0;0;-1.1;33;36;0;0;
3.086;0;0;0;-1.1;33;36;0;0;
3.110;0;0;0;-1.1;33;36;0;0;
3.136;0;0;0;-1.1;33;36;0;0;
3.161;0;0;0;-1.1;33;36;0;0;
3.212;0;0;0;-1.1;33;36;0;0;
3.236;0;0;0;-1.1;33;36;0;0;
3.262;0;0;0;-1.1;33;36;0;0;
3.286;0;0;0;-1.1;33;36;0;0;
3.310;0;0;0;-1.1;33;36;0;0;
3.335;0;0;0;-1.1;33;36;0;0;
3.358;0;0;0;-1.1;33;36;0;0;
3.384;0;0;0;-1.1;33;36;0;0;
3.408;0;0;0;-1.1;33;36;0;0;
3.433;0;0;0;-1.1;33;36;0;0;
3.457;0;0;0;-1.1;33;36;0;0;
3.481;0;0;0;-1.1;33;36;0;0;
3.506;0;0;0;-1.1;33;36;0;0;
3.531;0;0;0;-1.1;33;36;0;0;
3.556;0;0;0;-1.1;33;36;0;0;
3.581;0;0;0;-1.1;33;36;0;0;
3.606;0;0;0;-1.1;33;36;0;0;
3.631;0;0;0;-1.1;33;36;0;0;
3.656;0;0;0;-1.1;33;36;0;0;
3.681;0;0;0;-1.1;33;36;0;0;
3.707;0;0;0;-1.1;33;36;0;0;
3.732;0;0;0;-1.1;33;36;0;0;
3.748;0;0;0;-1.1;33;36;0;0;
3.768;0;0;0;-1.1;33;36;0;0;
3.791;0;0;0;-1.1;33;36;0;0;
3.817;0;0;0;-1.1;33;36;0;0;
3.840;0;0;0;-1.1;33;36;0;0;
3.866;0;0;0;-1.1;33;36;0;0;
3.889;0;0;0;-1.1;33;36;0;0;
3.914;0;0;0;-1.1;33;36;0;0;
3.938;0;0;0;-1.1;33;36;0;0;
3.963;0;0;0;-1.1;33;36;0;0;
3.988;0;0;0;-1.1;33;36;0;0;
4.012;0;0;0;-1.1;33;36;0;0;
4.037;0;0;0;-1.1;33;36;0;0;
4.061;0;0;0;-1.1;33;36;0;0;
4.086;0;0;0;-1.1;33;36;0;0;
4.110;0;0;0;-1.1;33;36;140;0;
4.136;0;0;0;-1.1;33;36;140;0;
4.160;0;0;0;-1.1;33;36;140;0;
