[Info]

Chopper_Name=B4M03 P 3 ZP0.60b029
Chopper_Node=74
Chopper_Hour=1
User_Comment=template for all winch motor
Program_Version=ZAPI PC Can Console 2.09
Save_Date=Wed Jul 19 14:14:12 2023

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE MIN ;1;4;1;0.1    ;1;20920;74;0;1;001FFDEF;PARAMETER CHANGE;
250;ACC. TORQUE MAX ;2;4;1;0.1    ;1;8367;74;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MIN ;3;4;1;0.1    ;1;20921;74;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MAX ;4;4;1;0.1    ;1;8428;74;0;1;001FFDEF;PARAMETER CHANGE;
250;MODULATION TORQ.;5;4;100;100 %;100;20922;74;0;1;001FFDEF;PARAMETER CHANGE;
250;ACCELER. DELAY ;6;4;23;2.3    ;20;8192;74;0;1;001FFD8F;PARAMETER CHANGE;
250;RELEASE BRAKING ;7;4;23;2.3    ;20;8203;74;0;1;001FFD8F;PARAMETER CHANGE;
250;REL BRK IN CTB ;8;4;20;2.0    ;20;8202;74;0;1;001FFD8F;PARAMETER CHANGE;
250;TILLER BRAKING ;9;4;5;0.5    ;5;8412;74;0;1;001FF90D;PARAMETER CHANGE;
250;INVERS. BRAKING ;10;4;20;2.0    ;10;8204;74;0;1;001FFD8D;PARAMETER CHANGE;
250;DECEL. BRAKING  ;11;4;23;2.3    ;90;8429;74;0;1;001FFD8F;PARAMETER CHANGE;
250;PEDAL BRAKING  ;12;4;10;1.0    ;10;8205;74;0;1;001FFD8D;PARAMETER CHANGE;
250;SPEED LIMIT BRK.;0;4;28;2.8    ;28;8208;74;0;0;001FF80B;PARAMETER CHANGE;
250;STEER BRAKING ;0;4;5;0.5    ;5;20721;74;0;0;001FF809;PARAMETER CHANGE;
250;SS1 BRAKING  ;13;4;20;2.0    ;10;20907;74;0;1;001FFD04;PARAMETER CHANGE;
250;GSS1 BRK. TIME ;14;4;22;2.2    ;50;20908;74;0;1;001FFD04;PARAMETER CHANGE;
250;ACC. MIN MODUL. ;15;4;8;8 %;8;20833;74;0;1;001FFD8F;PARAMETER CHANGE;
250;REL. MIN MODUL. ;16;4;30;30 %;30;20834;74;0;1;001FFD8F;PARAMETER CHANGE;
250;MAX SPEED FORW ;0;4;100;100 %;100;8222;74;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED BACK ;0;4;100;100 %;100;8223;74;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED LIFT ;0;4;100;100 %;100;8380;74;0;0;001FF802;PARAMETER CHANGE;
250;1ST PUMP SPEED ;0;4;28;28 %;28;8224;74;0;0;001FF802;PARAMETER CHANGE;
250;2ND PUMP SPEED ;0;4;90;90 %;90;8227;74;0;0;001FF802;PARAMETER CHANGE;
250;3RD PUMP SPEED ;0;4;50;50 %;50;8230;74;0;0;001FF802;PARAMETER CHANGE;
250;4TH PUMP SPEED ;0;4;28;28 %;28;8233;74;0;0;001FF802;PARAMETER CHANGE;
250;5TH PUMP SPEED ;0;4;45;45 %;45;8236;74;0;0;001FF802;PARAMETER CHANGE;
250;HYD PUMP SPEED ;0;4;40;40 %;40;8239;74;0;0;001FF802;PARAMETER CHANGE;
250;CUTBACK SPEED 1 ;0;4;100;100 %;100;8213;74;0;0;001FF80B;PARAMETER CHANGE;
250;CUTBACK SPEED 2 ;0;4;100;100 %;100;8214;74;0;0;001FF80B;PARAMETER CHANGE;
250;H&S CUTBACK   ;0;4;25;25 %;25;8373;74;0;0;001FF809;PARAMETER CHANGE;
250;CTB. STEER ALARM;0;4;23;23 %;23;8372;74;0;0;001FF809;PARAMETER CHANGE;
250;CURVE SPEED 1  ;0;4;100;100 %;100;20723;74;0;0;001FF809;PARAMETER CHANGE;
250;CURVE CUTBACK  ;0;4;100;100 %;100;8221;74;0;0;001FF809;PARAMETER CHANGE;
250;FREQUENCY CREEP ;0;4;51;5.10 Hz;12;8409;74;0;0;001FF80B;PARAMETER CHANGE;
250;TORQUE CREEP  ;17;4;12;4.7 %;12;8375;74;0;1;001FF80F;PARAMETER CHANGE;
250;ACC SMOOTH   ;18;4;10;1.0    ;10;8401;74;0;1;001FFD0F;PARAMETER CHANGE;
250;INV SMOOTH   ;19;4;10;1.0    ;10;8402;74;0;1;001FFD0D;PARAMETER CHANGE;
250;STOP SMOOTH   ;20;4;10;10 Hz;10;8403;74;0;1;001FFD0F;PARAMETER CHANGE;
250;BRK SMOOTH   ;21;4;10;1.0    ;10;8405;74;0;1;001FFD0D;PARAMETER CHANGE;
250;STOP BRK SMOOTH ;22;4;10;10 Hz;10;8407;74;0;1;001FFD0D;PARAMETER CHANGE;
250;BACKING SPEED  ;0;4;10;10 %;0;8382;74;0;0;001FF809;PARAMETER CHANGE;
250;BACKING TIME  ;0;4;0;0.0    ;0;8251;74;0;0;001FF809;PARAMETER CHANGE;
250;EB. ENGAGE DELAY;23;4;4;0.04    ;4;8247;74;0;1;001FFD8F;PARAMETER CHANGE;
250;AUXILIARY TIME ;24;4;10;1.0    ;4;8248;74;0;1;001FFD8F;PARAMETER CHANGE;
250;ROLLING DW SPEED;25;4;2;2 Hz;5;8446;74;0;1;001FFDEF;PARAMETER CHANGE;
250;MIN EVP     ;26;4;16;6.3 %;16;8438;74;0;1;001FFFFF;PARAMETER CHANGE;
250;MAX EVP     ;27;4;249;97.6 %;249;8437;74;0;1;001FFFFF;PARAMETER CHANGE;
