[Info]

Chopper_Name=B4M03 P 3 ZP0.60b029
Chopper_Node=78
Chopper_Hour=0
User_Comment=
Program_Version=ZAPI PC Can Console 2.09
Save_Date=Wed Jul 19 14:31:03 2023

[Release Format]
Release=2

[Code;Name;Position;Menu;Value;Scaled Value;Default;CodeOpenCan;Node;NotSaved;Active;Configuration;NameMenu]
250;ACC. TORQUE MIN ;1;4;1;0.1    ;1;20920;78;0;1;001FFDEF;PARAMETER CHANGE;
250;ACC. TORQUE MAX ;2;4;1;0.1    ;1;8367;78;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MIN ;3;4;1;0.1    ;1;20921;78;0;1;001FFDEF;PARAMETER CHANGE;
250;DEC. TORQUE MAX ;4;4;1;0.1    ;1;8428;78;0;1;001FFDEF;PARAMETER CHANGE;
250;MODULATION TORQ.;5;4;100;100 %;100;20922;78;0;1;001FFDEF;PARAMETER CHANGE;
250;ACCELER. DELAY ;6;4;23;2.3    ;20;8192;78;0;1;001FFD8F;PARAMETER CHANGE;
250;RELEASE BRAKING ;7;4;23;2.3    ;20;8203;78;0;1;001FFD8F;PARAMETER CHANGE;
250;REL BRK IN CTB ;8;4;20;2.0    ;20;8202;78;0;1;001FFD8F;PARAMETER CHANGE;
250;TILLER BRAKING ;9;4;5;0.5    ;5;8412;78;0;1;001FF90D;PARAMETER CHANGE;
250;INVERS. BRAKING ;10;4;20;2.0    ;10;8204;78;0;1;001FFD8D;PARAMETER CHANGE;
250;DECEL. BRAKING  ;11;4;23;2.3    ;90;8429;78;0;1;001FFD8F;PARAMETER CHANGE;
250;PEDAL BRAKING  ;12;4;10;1.0    ;10;8205;78;0;1;001FFD8D;PARAMETER CHANGE;
250;SPEED LIMIT BRK.;0;4;28;2.8    ;28;8208;78;0;0;001FF80B;PARAMETER CHANGE;
250;STEER BRAKING ;0;4;5;0.5    ;5;20721;78;0;0;001FF809;PARAMETER CHANGE;
250;SS1 BRAKING  ;13;4;20;2.0    ;10;20907;78;0;1;001FFD04;PARAMETER CHANGE;
250;GSS1 BRK. TIME ;14;4;22;2.2    ;50;20908;78;0;1;001FFD04;PARAMETER CHANGE;
250;ACC. MIN MODUL. ;15;4;8;8 %;8;20833;78;0;1;001FFD8F;PARAMETER CHANGE;
250;REL. MIN MODUL. ;16;4;30;30 %;30;20834;78;0;1;001FFD8F;PARAMETER CHANGE;
250;MAX SPEED FORW ;0;4;100;100 %;100;8222;78;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED BACK ;0;4;100;100 %;100;8223;78;0;0;001FF809;PARAMETER CHANGE;
250;MAX SPEED LIFT ;0;4;100;100 %;100;8380;78;0;0;001FF802;PARAMETER CHANGE;
250;1ST PUMP SPEED ;0;4;28;28 %;28;8224;78;0;0;001FF802;PARAMETER CHANGE;
250;2ND PUMP SPEED ;0;4;90;90 %;90;8227;78;0;0;001FF802;PARAMETER CHANGE;
250;3RD PUMP SPEED ;0;4;50;50 %;50;8230;78;0;0;001FF802;PARAMETER CHANGE;
250;4TH PUMP SPEED ;0;4;28;28 %;28;8233;78;0;0;001FF802;PARAMETER CHANGE;
